"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"256",4.88167701272603e-11,1.07124336991581,0.309,0.104,1.27182331212551e-06,"12","CLU"
"257",4.25933282853177e-10,1.03455636452849,0.298,0.103,1.10968398181738e-05,"12","SLF1"
"258",9.19306198451221e-09,1.04673726211862,0.106,0.018,0.000239506843882497,"12","TRBV3-1"
"259",3.68537924240812e-05,1.13372525625075,0.723,0.61,0.960151854024588,"12","FOS"
"260",0.000126755123474995,1.2294839603185,0.457,0.302,1,"12","HSPA1A"
"261",0,8.14580235276543,0.963,0.003,0,"13","IGHG1"
"262",0,6.86750224730588,0.593,0,0,"13","IGHG3"
"263",4.74303505355866e-292,5.33660456444176,0.63,0.002,1.23570292250364e-287,"13","JCHAIN"
"264",4.25506725990057e-255,4.02210004238577,0.963,0.012,1.1085726732219e-250,"13","MZB1"
"265",2.06861351602716e-251,6.77945776324702,0.556,0.002,5.38935879330556e-247,"13","IGHG2"
"266",2.63591209260032e-247,8.45674598687868,0.593,0.002,6.86734177485161e-243,"13","IGKC"
"267",6.35034572564607e-234,6.69140668489797,0.407,0,1.65445557190257e-229,"13","IGLC3"
"268",3.62638699023933e-180,7.21470567284889,0.444,0.002,9.44782602567051e-176,"13","IGLC2"
"269",5.86208068904121e-110,8.1994250338102,0.222,0,1.52724788191591e-105,"13","IGHV3-30"
"270",3.47891773298751e-107,8.97835714166444,0.185,0,9.06362436975236e-103,"13","IGHV1-69D"
"271",2.2199053793373e-89,9.58472294508038,0.185,0,5.78351948478747e-85,"13","IGKV1-9"
"272",6.24144613435008e-69,8.43548712440957,0.148,0,1.62608396138223e-64,"13","IGLV1-44"
"273",6.46755719987375e-64,6.70558072462473,0.222,0.002,1.68499267728311e-59,"13","IGHV3-33"
"274",1.53304766139038e-59,9.27622483934346,0.185,0.002,3.99404907222037e-55,"13","IGLV1-40"
"275",3.0231621192086e-39,7.6366949273659,0.111,0.001,7.87624426917417e-35,"13","IGKV1-12"
"276",3.16060227818644e-39,6.24047370295635,0.111,0.001,8.23431711535914e-35,"13","IGHV4-34"
"277",1.47018422497638e-34,7.49145034585021,0.148,0.002,3.83027096133096e-30,"13","IGKV3-20"
"278",7.68337097752496e-33,6.26379708042545,0.111,0.001,2.00174864077458e-28,"13","IGHV3-23"
"279",9.59251515485767e-33,7.88161085524263,0.111,0.001,2.49913797329507e-28,"13","IGLV3-9"
"280",3.11338132660079e-28,8.03550227493476,0.111,0.002,8.11129237019304e-24,"13","IGHV1-18"
