cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32
NPDC1,IGFBP2,MYOC,GDF15,LRP1,GNG11,EZR,EFEMP1,PLN,PTPRC,CCL3L1,NR4A1,FBLN1,GDF15,COMP,S100A8,DBI,KLRD1,AREG,ZFP36,FBN1,FLT4,C19orf33,PTTG1,MS4A2,FPR1,CEACAM6,RAMP2,EDNRB,NGFR,TNXB,CHL1,KRT17
ENG,NR2F2,COL1A2,MFSD12,ADH1B,CLEC14A,PTPRCAP,SVEP1,DSTN,CTSW,TYROBP,MUSTN1,C3,MFSD12,DIO2,S100A2,PPP1R1B,GZMA,CD83,CCL2,TNXB,CLDN5,CD24,STMN1,SLC18A2,MNDA,SPINT2,IGFBP2,S100A1,KLF5,FBN1,GPM6B,S100A2
ECSCR,ACTA2,COL1A1,GSTP1,MFAP4,PLVAP,CD3D,COL6A3,DES,CD3E,C1QB,NDUFA4L2,CXCL2,FBXO7,BGN,SFN,GAPDH,CCL4L2,IFI30,CCL14,PLA2G2A,CAVIN2,DEFB1,H2AFZ,RHEX,PLEK,TSPAN8,EPAS1,S100B,OGN,CCDC80,S100B,DSP
EGFL7,MYL9,ABI3BP,FBXO7,C1S,SOX18,SPOCK2,SFRP1,PPP1R14A,PTPRCAP,FCER1G,RERGL,PLPP3,HMGA1,COL6A2,KRTDAP,KRT8,FGFBP2,GPR183,IER3,FSTL1,LMO2,CLIC3,TUBA1B,RAB27B,PLAUR,AARD,FABP4,LGALS3BP,ABCA8,IGF1,ITGB8,KRT14
SPARCL1,EPS8,IGFBP6,TYR,CCDC80,BTNL9,CD2,COL3A1,LMOD1,HCST,AIF1,LBH,GSN,EMP3,MMP2,CALML3,TPD52L1,CD247,IL1B,TM4SF1,CLEC3B,TFPI,SLURP1,PMEL,FCER1G,FTH1,C5orf46,GNG11,OS9,CYP1B1,LRP1,HSPA12A,AQP3
HSPG2,CD36,FBLN2,S100B,C3,CDH5,SRGN,CXCL14,MCAM,IL32,HLA-DRA,ADRA2A,HSPA1B,YWHAH,COL5A1,KRT6B,TESC,ITGB2,HLA-DMA,GADD45B,EFEMP1,PPFIBP1,VSNL1,MLANA,IL1RL1,NAMPT,SERHL2,IFI27,CPM,LTBP4,MMP2,VWA1,S100A9
ADGRL4,ID4,CTHRC1,FXYD3,PLPP3,A2M,CORO1A,FSTL1,TPM1,ZFP36L2,LYZ,ATF3,MGP,S100A13,MMP11,CSTA,CA6,HCST,CPVL,HLA-DRB5,CD55,RAMP2,TACSTD2,UBE2S,GATA2,SAT1,CLDN7,NR2F2,TIMP2,MATN2,COL1A1,STARD13,KRT1
RAMP2,CALD1,MFAP5,LHFPL3-AS1,LAMA2,ESAM,SARAF,LRP1,NET1,CORO1A,CD14,TPM2,HSPA1A,UBE2L3,RARRES2,DMKN,LDHA,RAC2,CD1C,PPP1R15A,CFD,HYAL2,CRABP2,HMGB2,VWA5A,SOD2,CITED4,SPARCL1,UBD,APOD,SFRP4,CRYAB,PERP
IFI27,IGFBP5,MFAP4,CCT8,C7,EGFL7,IL2RG,CD248,RGS5,CD7,MS4A7,GEM,APOD,SDF2L1,PTGDS,FABP5,CHCHD10,PTPRC,CCL22,LGALS3BP,IGFBP5,GNG11,PERP,HIST1H4C,AREG,IFITM2,SLC12A2,UACA,CRYAB,IGFBP6,COMP,PMP22,MT1X
CLU,MYO1B,PI16,CHCHD6,APOE,ICAM2,ZFP36L2,MFAP5,C11orf96,GZMB,F13A1,CEBPD,SFRP2,NEAT1,APCDD1,KRT10,QDPR,CORO1A,CST3,ICAM1,COL1A1,AKAP12,HSPB8,LGALS1,LTC4S,RGS2,DCD,COL4A2,IFI6,PTGDS,CLEC3B,MATN2,FABP5
Endothelial cells,myCAF,iCAF,Melanocytes,iCAF,Endothelial cells,T cells,iCAF,myCAF,T cells,Dendritic Cells?,myCAF,iCAF,Melanocytes,iCAF,epithelial,epithelial,NK cells,Dendritic Cells?,Melanocytes,iCAF,Endothelial cells,epithelial,Melanocytes,Mast cells,Neutrophils,epithelial,Endothelial cells,Melanocytes,iCAF,iCAF,Melanocytes,epithelial
,,,,,,,,,,,,,,,,,,,,,VWF,,,,,,VWF,,,,,
