"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"128",0,2.46484001957908,0.862,0.13,0,"6","PTPRC"
"129",0,2.46158408627768,0.49,0.041,0,"6","BATF"
"130",0,2.31648397419754,0.87,0.59,0,"6","TSC22D3"
"131",0,2.25856492966697,0.686,0.304,0,"6","EZR"
"132",0,2.21589517708951,0.743,0.067,0,"6","PTPRCAP"
"133",0,2.1950312975448,0.693,0.048,0,"6","CD3D"
"134",0,2.13928562727624,0.755,0.111,0,"6","CORO1A"
"135",0,2.12032287607653,0.609,0.042,0,"6","SPOCK2"
"136",0,2.10189100589762,0.565,0.044,0,"6","CD2"
"137",0,2.07138020203164,0.893,0.323,0,"6","SRGN"
"138",0,2.07059179241976,0.857,0.632,0,"6","SARAF"
"139",0,2.06132355441719,0.682,0.085,0,"6","IL2RG"
"140",0,2.05078393388639,0.845,0.691,0,"6","ZFP36L2"
"141",0,4.72845960511532,0.975,0.163,0,"7","PLA2G2A"
"142",0,2.85167195492435,0.907,0.186,0,"7","IGF1"
"143",0,2.76860934597063,0.999,0.585,0,"7","IGFBP4"
"144",0,2.66071886814216,1,0.393,0,"7","CFD"
"145",0,2.546367406478,0.978,0.284,0,"7","THY1"
"146",0,2.47461857720686,0.993,0.312,0,"7","VCAN"
"147",0,2.46140304404361,0.939,0.33,0,"7","SRPX"
"148",0,2.42981738472165,0.974,0.261,0,"7","FGF7"
"149",0,2.41639295808251,0.962,0.183,0,"7","C3"
"150",0,2.26223002670654,0.983,0.259,0,"7","EFEMP1"
"151",0,2.25624325863977,0.985,0.401,0,"7","CXCL12"
"152",0,2.24868419855976,0.874,0.159,0,"7","SVEP1"
"153",0,2.20233742481556,0.99,0.321,0,"7","COL6A3"
"154",0,2.17638504340104,0.896,0.19,0,"7","SFRP1"
"155",0,2.1699683191074,0.999,0.427,0,"7","COL3A1"
"156",0,2.16458730553148,0.987,0.408,0,"7","FSTL1"
"157",0,2.15256744037997,0.993,0.347,0,"7","CXCL14"
"158",0,2.14998972745597,0.975,0.29,0,"7","CD248"
"159",0,2.13595273496899,0.994,0.369,0,"7","LRP1"
"160",0,2.09741231617146,0.946,0.205,0,"7","MFAP5"
"161",0,4.34601467979664,0.982,0.131,0,"8","MYH11"
"162",0,3.95367645284455,0.965,0.11,0,"8","MUSTN1"
"163",0,3.89236084012717,0.995,0.22,0,"8","ACTA2"
"164",0,3.67569426754483,0.992,0.334,0,"8","TPM2"
"165",0,3.4846193119044,0.99,0.357,0,"8","TAGLN"
"166",0,3.36010413663102,0.994,0.543,0,"8","MYL9"
"167",0,3.34097759357689,0.722,0.062,0,"8","ACTG2"
"168",0,3.24005732380413,0.736,0.059,0,"8","CNN1"
"169",0,3.17478717311903,0.717,0.033,0,"8","RERGL"
"170",0,3.15499924841,0.85,0.18,0,"8","SORBS2"
"171",0,2.92654578110332,0.839,0.059,0,"8","PLN"
"172",0,2.90889473935036,0.376,0.02,0,"8","DES"
"173",0,2.89714372900342,0.976,0.734,0,"8","DSTN"
"174",0,2.78632884987698,0.819,0.123,0,"8","PPP1R14A"
"175",0,2.74011709447055,0.872,0.169,0,"8","LMOD1"
"176",0,2.72104887736923,0.976,0.478,0,"8","TPM1"
"177",0,2.72037281115432,0.933,0.245,0,"8","MCAM"
"178",0,2.59991063989283,0.817,0.204,0,"8","NET1"
"179",0,2.400415247067,0.967,0.685,0,"8","FLNA"
"180",0,2.39592488579971,0.881,0.249,0,"8","MYLK"
"181",0,4.02510604571902,0.904,0.057,0,"9","CCL5"
"182",0,3.5942217163599,0.916,0.122,0,"9","CXCR4"
"183",0,3.58141430079141,0.64,0.009,0,"9","GZMK"
"184",0,3.40399147577167,0.667,0.08,0,"9","CCL4"
"185",0,3.27325778666245,0.857,0.132,0,"9","DUSP2"
"186",0,2.9966569326508,0.75,0.032,0,"9","GZMA"
"187",0,2.90944896617214,0.857,0.037,0,"9","NKG7"
"188",0,2.87892033953405,0.656,0.019,0,"9","CD8A"
"189",0,2.82934678893887,0.706,0.079,0,"9","CD69"
"190",0,2.64594148881572,0.826,0.086,0,"9","CST7"
"191",0,2.61972960629991,0.934,0.143,0,"9","PTPRC"
"192",0,2.55304773555333,0.753,0.047,0,"9","CTSW"
"193",0,2.52267199227136,0.819,0.075,0,"9","CD3E"
"194",0,2.45703146801582,0.799,0.08,0,"9","PTPRCAP"
"195",0,2.43703482988902,0.818,0.112,0,"9","HCST"
"196",0,2.38467719785629,0.879,0.234,0,"9","IL32"
"197",0,2.37329948665103,0.942,0.69,0,"9","ZFP36L2"
"198",0,2.3470913229931,0.882,0.595,0,"9","TSC22D3"
"199",0,2.33779662572689,0.525,0.085,0,"9","IL7R"
"200",0,2.33393456806603,0.568,0.052,0,"9","CD7"
"201",0,4.35773955667858,0.623,0.048,0,"10","CCL3"
"202",0,4.34517335114988,0.718,0.016,0,"10","C1QA"
"203",0,4.31916274050152,0.666,0.052,0,"10","CXCL3"
"204",0,4.21731962154846,0.712,0.017,0,"10","C1QC"
"205",0,4.19964612676238,0.567,0.033,0,"10","IL1B"
"206",0,3.97601449731923,0.815,0.125,0,"10","IFI30"
"207",0,3.81630338010851,0.748,0.069,0,"10","CXCL8"
"208",0,3.81504862253065,0.551,0.054,0,"10","CCL4L2"
"209",0,3.75901289237581,0.761,0.138,0,"10","CXCL2"
"210",0,3.70783619591931,0.683,0.2,0,"10","RNASE1"
"211",0,3.68698547657757,0.663,0.015,0,"10","C1QB"
"212",0,3.67992215626205,0.479,0.02,0,"10","CCL3L1"
"213",0,3.6792038443091,0.979,0.074,0,"10","TYROBP"
"214",0,3.42662051716705,0.919,0.048,0,"10","FCER1G"
"215",0,3.38490359156543,0.894,0.034,0,"10","AIF1"
"216",0,3.34545232932785,0.824,0.065,0,"10","CD14"
"217",0,3.31981486053559,0.747,0.032,0,"10","LYZ"
"218",0,3.31648493996782,0.967,0.286,0,"10","HLA-DRA"
"219",0,3.23391857960693,0.854,0.019,0,"10","MS4A7"
"220",0,3.1889813047573,0.615,0.026,0,"10","F13A1"
